broker,direction,district,fecha_publicacion,idCliente,lat,lon,portal,supTotal,supUtil,tipo,title,url,valor,vivienda
Von Schultzendorff Gestión Inmobiliaria,Metro Simón Bolívar,la-reina,14-10-2019,5129846,-33.4459419,-70.5719452,Portal Inmobiliario,80,69,arriendo,Metro Simón Bolívar,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5129846-metro-simon-bolivar-uda,630000,departamento
Foerster Propiedades,La Cañada 6231,la-reina,05-12-2019,5259629,-33.4424973,-70.5676956,Portal Inmobiliario,110,110,arriendo,La Cañada 6231,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5259629-la-canada-6231-uda,650000,departamento
Nexxos,Mall Plaza Egaña,la-reina,28-10-2019,5158726,-33.4543991,-70.5698013,Portal Inmobiliario,165,77,arriendo,Mall Plaza Egaña,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5158726-mall-plaza-egana-uda,600000,departamento
Ralph Propiedades,Las Arañas 5805,la-reina,30-11-2019,5243126,-33.4370003,-70.5731125,Portal Inmobiliario,100,96,arriendo,Las Arañas 5805,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5243126-las-aranas-5805-uda,650000,departamento
Fuenzalida Propiedades Puente Alto,La Cañada - Echeñique / Tobalaba,la-reina,27-11-2019,5232793,-33.4444008,-70.5661011,Portal Inmobiliario,140,120,arriendo,La Cañada - Echeñique / Tobalaba,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5232793-la-canada-echenique-tobalaba-uda,750000,departamento
Paulo Prouza,Avenida Larrain 5922 - Departamento 309,la-reina,28-11-2019,5236147,-33.4532776,-70.5688782,Portal Inmobiliario,75,75,arriendo,Avenida Larrain 5922 - Departamento 309,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5236147-avenida-larrain-5922-departamento-309-uda,550000,departamento
Mitani Inversiones Ltda.,Nicanor Plaza,la-reina,24-10-2018,4372130,-33.4343987,-70.532402,Portal Inmobiliario,195,162,arriendo,Nicanor Plaza,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/4372130-nicanor-plaza-uda,52,departamento
Mario Cañete,Blest Gana - Paula Jaraquemada,la-reina,23-11-2019,5224213,-33.4556503,-70.5688782,Portal Inmobiliario,64,62,arriendo,Blest Gana - Paula Jaraquemada,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5224213-blest-gana-paula-jaraquemada-uda,20,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,04-10-2019,5110819,-33.455513,-70.571106,Portal Inmobiliario,59,54,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5110819-blest-gana-5710-uda,540000,departamento
Veronika Hucke W.,Blest Gana / Avda. Ossa,la-reina,18-10-2019,5143703,-33.455513,-70.571106,Portal Inmobiliario,76,68,arriendo,Blest Gana / Avda. Ossa,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5143703-blest-gana-avda-ossa-uda,595000,departamento
Assetplan Asesores De Inversión S.a.,Hannover 5730 - Departamento 210,la-reina,27-06-2019,4903227,-33.4514961,-70.5700302,Portal Inmobiliario,55,45,arriendo,Hannover 5730 - Departamento 210,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/4903227-hannover-5730-departamento-210-uda,480000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,29-08-2019,5039958,-33.455513,-70.571106,Portal Inmobiliario,43,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5039958-blest-gana-5710-uda,400000,departamento
Assetplan Asesores De Inversión S.a.,Avenida Echeñique 5819 - Departamento 807,la-reina,08-12-2019,4909963,-33.4454765,-70.5711746,Portal Inmobiliario,90,75,arriendo,Avenida Echeñique 5819 - Departamento 807,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/4909963-avenida-echenique-5819-departamento-807-uda,630000,departamento
B & A Gestión Inmobiliaria,Impecable Depto La Reina Amoblado,la-reina,13-11-2019,5196232,-33.4536858,-70.5680389,Portal Inmobiliario,75,75,arriendo,Impecable Depto La Reina Amoblado,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5196232-impecable-depto-la-reina-amoblado-uda,600000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,05-10-2019,5113027,-33.455513,-70.571106,Portal Inmobiliario,43,39,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5113027-blest-gana-5710-uda,420000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,27-09-2019,5095578,-33.455513,-70.571106,Portal Inmobiliario,71,65,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5095578-blest-gana-5710-uda,560000,departamento
Engel & Völkers La Reina/peñalolén,Moderno Departamento A Pasos De Metro,la-reina,31-05-2019,4842158,-33.437595,-70.52592,Portal Inmobiliario,2,2,arriendo,Moderno Departamento A Pasos De Metro,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/4842158-moderno-departamento-a-pasos-de-metro-uda,600000,departamento
Grupo Inmobiliario Openhousse,Metro Plaza Egaña / Blest Gana / Family Too Ii,la-reina,13-09-2019,5074557,-33.4555626,-70.5689697,Portal Inmobiliario,42,39,arriendo,Metro Plaza Egaña / Blest Gana / Family Too Ii,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5074557-metro-plaza-egana-blest-gana-family-too-ii-uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,08-10-2019,5119412,-33.455513,-70.571106,Portal Inmobiliario,43,39,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5119412-blest-gana-5710-uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,24-10-2019,5154552,-33.455513,-70.571106,Portal Inmobiliario,44,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5154552-blest-gana-5710-uda,420000,departamento
Live Properties,Departamento Con Excelente Conectividad,la-reina,08-12-2019,5200265,-33.4379997,-70.6380005,Portal Inmobiliario,90,90,arriendo,Departamento Con Excelente Conectividad,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5200265-departamento-con-excelente-conectividad-uda,650000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,08-10-2019,5117610,-33.455513,-70.571106,Portal Inmobiliario,43,39,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5117610-blest-gana-5710-uda,400000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,17-10-2019,5140138,-33.455513,-70.571106,Portal Inmobiliario,71,65,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5140138-blest-gana-5710-uda,560000,departamento
Assetplan Asesores De Inversión S.a.,Avenida Echeñique 5819 - Departamento 807,la-reina,27-06-2019,4902962,-33.4454765,-70.5711746,Portal Inmobiliario,90,75,arriendo,Avenida Echeñique 5819 - Departamento 807,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/4902962-avenida-echenique-5819-departamento-807-uda,630000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,17-08-2019,5012444,-33.455513,-70.571106,Portal Inmobiliario,71,65,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5012444-blest-gana-5710-uda,575000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,04-10-2019,5110780,-33.455513,-70.571106,Portal Inmobiliario,43,39,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5110780-blest-gana-5710-uda,400000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,09-10-2019,5120367,-33.455513,-70.571106,Portal Inmobiliario,71,65,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5120367-blest-gana-5710-uda,550000,departamento
Baeza Y Asociados Propiedades,Principe De Gales  / La Cañada,la-reina,09-12-2019,5268082,-33.4400406,-70.5550995,Portal Inmobiliario,45,45,arriendo,Principe De Gales  / La Cañada,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5268082-principe-de-gales-la-canada-uda,350000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,09-10-2019,5121154,-33.455513,-70.571106,Portal Inmobiliario,59,54,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5121154-blest-gana-5710-uda,560000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,29-08-2019,5039960,-33.455513,-70.571106,Portal Inmobiliario,43,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5039960-blest-gana-5710-uda,430000,departamento
Makler Gestión Inmobiliaria,Vespucio / / Country Club,la-reina,30-09-2019,5099559,-33.4328003,-70.5754013,Portal Inmobiliario,130,94,arriendo,Vespucio / / Country Club,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5099559-vespucio-country-club-uda,990000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,05-10-2019,5113036,-33.455513,-70.571106,Portal Inmobiliario,59,54,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5113036-blest-gana-5710-uda,560000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,23-10-2019,5151694,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5151694-blest-gana-5710-uda,400000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 1510,la-reina,28-10-2019,5159894,-33.4550781,-70.5646439,Portal Inmobiliario,57,57,arriendo,Blest Gana 1510,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5159894-blest-gana-1510-uda,555000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,09-10-2019,5119372,-33.455513,-70.571106,Portal Inmobiliario,59,54,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5119372-blest-gana-5710-uda,530000,departamento
Pedro Chacon,Metro Plaza Egaña,la-reina,25-11-2019,5227629,-33.4516907,-70.5698471,Portal Inmobiliario,73,62,arriendo,Metro Plaza Egaña,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5227629-metro-plaza-egana-uda,680000,departamento
Francesca Bacovich Gajardo,Loreley 1736 - Departamento 1610,la-reina,09-12-2019,5268213,-33.4382515,-70.5711288,Portal Inmobiliario,54,47,arriendo,Loreley 1736 - Departamento 1610,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5268213-loreley-1736-departamento-1610-uda,480000,departamento
Maria Luz Suarez Azocar,Valenzuela Llanos,la-reina,06-12-2019,5262178,-33.4430122,-70.5373001,Portal Inmobiliario,35,35,arriendo,Valenzuela Llanos,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5262178-valenzuela-llanos-uda,350000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,26-08-2019,5032387,-33.455513,-70.571106,Portal Inmobiliario,44,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5032387-blest-gana-5710-uda,400000,departamento
Claudia Albornoz,"Avenida Ossa ,metro Estación Simon Bolivar",la-reina,15-12-2019,5286815,-33.4437637,-70.5704575,Portal Inmobiliario,55,53,arriendo,"Avenida Ossa ,metro Estación Simon Bolivar",https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5286815-avenida-ossa-metro-estacion-simon-bolivar-uda,500000,departamento
Benjamin Rodriguez,"Poeta Ángel Cruchaga 7441, La Reina - Departamento 202c",la-reina,23-11-2019,5223822,-33.435421,-70.5518036,Portal Inmobiliario,50,50,arriendo,"Poeta Ángel Cruchaga 7441, La Reina - Departamento 202c",https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5223822-poeta-angel-cruchaga-7441-la-reina-departamento-202c-uda,1550,departamento
Ortega-fuenzalida Propiedades,Principe De Gales / La Cañada,la-reina,01-10-2019,5102368,-33.4385223,-70.5710297,Portal Inmobiliario,80,74,arriendo,Principe De Gales / La Cañada,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5102368-principe-de-gales-la-canada-uda,570000,departamento
Fernanda Mackenna,Loreley 1736,la-reina,20-11-2019,5216476,-33.4387741,-70.5706482,Portal Inmobiliario,126,126,arriendo,Loreley 1736,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5216476-loreley-1736-uda,800000,departamento
Veronika Hucke W.,Avda. Francisco De Bilbao / Avda. Príncipe De Gales,la-reina,05-11-2019,5176779,-33.4370003,-70.5731125,Portal Inmobiliario,123,123,arriendo,Avda. Francisco De Bilbao / Avda. Príncipe De Gales,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5176779-avda-francisco-de-bilbao-avda-principe-de-gales-uda,2550,departamento
Monica Singer,Simón Bolívar 6149 - Departamento E,la-reina,05-12-2019,5257959,-33.4476318,-70.5672531,Portal Inmobiliario,70,70,arriendo,Simón Bolívar 6149 - Departamento E,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5257959-simon-bolivar-6149-departamento-e-uda,470000,departamento
Lakay Propiedades,Al Frente Mall Plaza Egaña¡¡¡¡¡linea 3 Y 4 Metro¡¡¡,la-reina,24-10-2019,5153511,-33.4516029,-70.5699387,Portal Inmobiliario,48,45,arriendo,Al Frente Mall Plaza Egaña¡¡¡¡¡linea 3 Y 4 Metro¡¡¡,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5153511-al-frente-mall-plaza-eganalinea-3-y-4-metro-uda,450000,departamento
Pilar Alejandra Cortés Pimentel,Aguas Claras -mateo De Toro Y Zambrano Frente Unimarc La Reina,la-reina,02-12-2019,5226931,-33.4419098,-70.5544586,Portal Inmobiliario,75,70,arriendo,Aguas Claras -mateo De Toro Y Zambrano Frente Unimarc La Reina,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5226931-aguas-claras-mateo-de-toro-y-zambrano-frente-unimarc-la-reina-uda,480000,departamento
Fuenzalida Propiedades Ñuñoa,Francisco De Villagra - Blast Gana - Ave,la-reina,18-11-2019,5206644,-33.4600983,-70.572403,Portal Inmobiliario,49,46,arriendo,Francisco De Villagra - Blast Gana - Ave,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5206644-francisco-de-villagra-blast-gana-ave-uda,400000,departamento
Mejor Amoblados,Peñalolen / Quilin,la-reina,09-10-2019,4958859,-33.4445839,-70.5193024,Portal Inmobiliario,127,105,arriendo,Peñalolen / Quilin,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/4958859-penalolenquilin-uda,700000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 - Departamento 702,la-reina,17-08-2019,5012738,-33.455513,-70.571106,Portal Inmobiliario,73,68,arriendo,Blest Gana 5710 - Departamento 702,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5012738-blest-gana-5710-departamento-702-uda,550000,departamento
Home Asset,"Mall Plaza Egaña, Metro Plaza Egaña, La Reina.",la-reina,18-11-2019,5209682,-33.4555626,-70.5689697,Portal Inmobiliario,41,38,arriendo,"Mall Plaza Egaña, Metro Plaza Egaña, La Reina.",https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5209682-mall-plaza-egana-metro-plaza-egana-la-reina-uda,460000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,29-08-2019,5040912,-33.455513,-70.571106,Portal Inmobiliario,43,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5040912-blest-gana-5710-uda,450000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 - Departamento 409,la-reina,09-10-2019,5120537,-33.455513,-70.571106,Portal Inmobiliario,43,43,arriendo,Blest Gana 5710 - Departamento 409,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5120537-blest-gana-5710-departamento-409-uda,445000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,11-11-2019,5182916,-33.455513,-70.571106,Portal Inmobiliario,43,39,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5182916-blest-gana-5710-uda,420000,departamento
Lass Propiedadess,Ricardo Wagner / Las Luciernagas,la-reina,05-06-2019,4853809,-33.4331474,-70.5753098,Portal Inmobiliario,166,130,arriendo,Ricardo Wagner / Las Luciernagas,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/4853809-ricardo-wagner-las-luciernagas-uda,950000,departamento
Assetplan Asesores De Inversión S.a.,Echenique 5819,la-reina,08-12-2019,5214629,-33.4500008,-70.5500031,Portal Inmobiliario,45,45,arriendo,Echenique 5819,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5214629-echenique-5819-uda,565000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,08-10-2019,5117609,-33.455513,-70.571106,Portal Inmobiliario,59,54,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5117609-blest-gana-5710-uda,560000,departamento
Águila Propiedades,Helsinski 5740,la-reina,11-11-2019,5191861,-33.4564629,-70.5709686,Portal Inmobiliario,74,67,arriendo,Helsinski 5740,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5191861-helsinski-5740-uda,650000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5201789,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5201789-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5231976,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5231976-blest-gana-5710-estac--uda,425000,departamento
Assetplan Asesores De Inversión S.a.,Ricardo Wagner 2161 - Departamento 1201#,la-reina,05-09-2019,5055292,-33.4331474,-70.5753098,Portal Inmobiliario,70,65,arriendo,Ricardo Wagner 2161 - Departamento 1201#,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5055292-ricardo-wagner-2161-departamento-1201-uda,640000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,08-12-2019,5160424,-33.455513,-70.571106,Portal Inmobiliario,44,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5160424-blest-gana-5710-uda,420000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac / + Bod),la-reina,23-10-2019,5151698,-33.4555016,-70.5710983,Portal Inmobiliario,57,2,arriendo,Blest Gana 5710 (+ Estac / + Bod),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5151698-blest-gana-5710-estac-bod-uda,540000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,08-12-2019,5201787,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5201787-blest-gana-5710-uda,400000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,24-10-2019,5152038,-33.455513,-70.571106,Portal Inmobiliario,43,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5152038-blest-gana-5710-uda,420000,departamento
Ronit Meirovich,Avenida Egaña 252,la-reina,08-12-2019,5262052,-33.4558144,-70.5708847,Portal Inmobiliario,74,67,arriendo,Avenida Egaña 252,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5262052-avenida-egana-252-uda,610000,departamento
Assetplan Asesores De Inversión S.a.,Avenida Echeñique 5819,la-reina,08-12-2019,5183784,-33.4454765,-70.5711746,Portal Inmobiliario,65,65,arriendo,Avenida Echeñique 5819,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5183784-avenida-echenique-5819-uda,580000,departamento
Assetplan Asesores De Inversión S.a.,Avenida Egaña 252 - Departamento 608,la-reina,08-12-2019,5232283,-33.4559784,-70.5711441,Portal Inmobiliario,42,42,arriendo,Avenida Egaña 252 - Departamento 608,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5232283-avenida-egana-252-departamento-608-uda,420000,departamento
Nexxos,Avenida Ossa,la-reina,09-12-2019,5256449,-33.4543991,-70.569397,Portal Inmobiliario,114,102,arriendo,Avenida Ossa,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5256449-avenida-ossa-uda,800000,departamento
Las Bellotas Propiedades,Av. Amércio Vespucio / Bilbao,la-reina,08-12-2019,5218323,-33.4318695,-70.5725021,Portal Inmobiliario,90,80,arriendo,Av. Amércio Vespucio / Bilbao,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5218323-av-amercio-vespucio-bilbao-uda,600000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5247082,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5247082-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5256738,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5256738-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5201793,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5201793-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,04-10-2019,5111472,-33.455513,-70.571106,Portal Inmobiliario,37,37,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5111472-blest-gana-5710-uda,420000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5256732,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5256732-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5265121,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5265121-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5201790,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5201790-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac / + Bod),la-reina,08-12-2019,5265141,-33.4555016,-70.5710983,Portal Inmobiliario,57,2,arriendo,Blest Gana 5710 (+ Estac / + Bod),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5265141-blest-gana-5710-estac-bod-uda,530000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac / + Bod),la-reina,09-12-2019,5265179,-33.4555016,-70.5710983,Portal Inmobiliario,57,2,arriendo,Blest Gana 5710 (+ Estac / + Bod),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5265179-blest-gana-5710-estac-bod-uda,530000,departamento
Easy Prop,En Nuñoa Se Arrienda Departamento Amobla,la-reina,09-12-2019,5268008,-33.4548988,-70.5682983,Portal Inmobiliario,63,60,arriendo,En Nuñoa Se Arrienda Departamento Amobla,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5268008-en-nunoa-se-arrienda-departamento-amobla-uda,580000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac ),la-reina,08-12-2019,5256736,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710 (+ Estac ),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5256736-blest-gana-5710-estac--uda,430000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,08-12-2019,5194173,-33.455513,-70.571106,Portal Inmobiliario,44,40,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5194173-blest-gana-5710-uda,445000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac / + Bod),la-reina,08-12-2019,5265149,-33.4555016,-70.5710983,Portal Inmobiliario,57,2,arriendo,Blest Gana 5710 (+ Estac / + Bod),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5265149-blest-gana-5710-estac-bod-uda,530000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,08-12-2019,5201788,-33.4555016,-70.5710983,Portal Inmobiliario,41,1,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5201788-blest-gana-5710-uda,400000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac / + Bod),la-reina,09-12-2019,5265186,-33.4555016,-70.5710983,Portal Inmobiliario,57,2,arriendo,Blest Gana 5710 (+ Estac / + Bod),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5265186-blest-gana-5710-estac-bod-uda,530000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710 (+ Estac / + Bod),la-reina,08-12-2019,5265155,-33.4555016,-70.5710983,Portal Inmobiliario,57,2,arriendo,Blest Gana 5710 (+ Estac / + Bod),https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5265155-blest-gana-5710-estac-bod-uda,530000,departamento
Assetplan Asesores De Inversión S.a.,Blest Gana 5710,la-reina,09-10-2019,5119938,-33.455513,-70.571106,Portal Inmobiliario,43,39,arriendo,Blest Gana 5710,https://www.portalinmobiliario.com/arriendo/departamento/la-reina-metropolitana/5119938-blest-gana-5710-uda,420000,departamento
