broker,direction,district,fecha_publicacion,idCliente,lat,lon,portal,supTotal,supUtil,tipo,title,url,valor,vivienda
Abrace,Departamento Amoblado 2 Dorm Y 1 Baños 2 Cuadras Del Metro Universidad De Chile,santiago,10-12-2019,5273562,-33.446003,-70.6487503,Portal Inmobiliario,43,43,arriendo,Departamento Amoblado 2 Dorm Y 1 Baños 2 Cuadras Del Metro Universidad De Chile,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5273562-departamento-amoblado-2-dorm-y-1-banos-2-cuadras-del-metro-universidad-de-chile-uda,415000,departamento
Easy Prop,Club Hipico / Blanco Encalada - Metro Toes,santiago,12-12-2019,5279214,-33.4557991,-70.6651001,Portal Inmobiliario,48,45,arriendo,Club Hipico / Blanco Encalada - Metro Toes,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5279214-club-hipicoblanco-encalada-metro-toes-uda,425000,departamento
Century 21 Orel,Almirante Latorre,santiago,12-12-2019,5280144,-33.4552002,-70.6641006,Portal Inmobiliario,55,50,arriendo,Almirante Latorre,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5280144-almirante-latorre-uda,420000,departamento
Patrimonio Inmobiliario Limitada,General Mackenna 1555,santiago,13-12-2019,5284825,-33.4332275,-70.659729,Portal Inmobiliario,54,54,arriendo,General Mackenna 1555,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5284825-general-mackenna-1555-uda,400000,departamento
C. R. Propiedades,Padre Miguel De Olivares 1444,santiago,13-12-2019,5284521,-33.4491348,-70.6554108,Portal Inmobiliario,36,33,arriendo,Padre Miguel De Olivares 1444,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5284521-padre-miguel-de-olivares-1444-uda,298000,departamento
González López Propiedades,Nataniel Cox / Calle Victoria,santiago,13-12-2019,5028511,-33.4639969,-70.6510773,Portal Inmobiliario,52,52,arriendo,Nataniel Cox / Calle Victoria,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5028511-nataniel-cox-calle-victoria-uda,400000,departamento
Abbo Limitada,Jose Miguel Carrera 359,santiago,13-12-2019,5282249,-33.46912,-70.6419983,Portal Inmobiliario,40,40,arriendo,Jose Miguel Carrera 359,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5282249-jose-miguel-carrera-359-uda,400000,departamento
Alm Abogados Y Corredores Asociados.,Avenida Portugal 941,santiago,16-12-2019,5287571,-33.454464,-70.6338272,Portal Inmobiliario,50,45,arriendo,Avenida Portugal 941,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5287571-avenida-portugal-941-uda,365000,departamento
Alm Abogados Y Corredores Asociados.,Santo Domingo 755,santiago,16-12-2019,5288246,-33.4354057,-70.6481247,Portal Inmobiliario,42,40,arriendo,Santo Domingo 755,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5288246-santo-domingo-755-uda,280000,departamento
Castilla Propiedades,Avenida Portugal 941,santiago,16-12-2019,5287897,-33.454464,-70.6338272,Portal Inmobiliario,54,50,arriendo,Avenida Portugal 941,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5287897-avenida-portugal-941-uda,400000,departamento
Patrimonio Inmobiliario Limitada,San Pablo 1503,santiago,13-12-2019,5284556,-33.4341965,-70.658905,Portal Inmobiliario,46,46,arriendo,San Pablo 1503,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5284556-san-pablo-1503-uda,350000,departamento
Alm Abogados Y Corredores Asociados.,Santo Domingo 3905,santiago,16-12-2019,5287447,-33.438961,-70.6885681,Portal Inmobiliario,33,33,arriendo,Santo Domingo 3905,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5287447-santo-domingo-3905-uda,245000,departamento
Abbo Limitada,Romero 2385,santiago,13-12-2019,5284680,-33.4465866,-70.6690063,Portal Inmobiliario,60,60,arriendo,Romero 2385,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5284680-romero-2385-uda,550000,departamento
Munay Gestión Inmobiliaria,Huerfanos 1400,santiago,14-12-2019,5285533,-33.4403992,-70.6567001,Portal Inmobiliario,25,25,arriendo,Huerfanos 1400,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5285533-huerfanos-1400-uda,300000,departamento
Maximizar Liderazgo Inmobiliario,Metro Toesca / Parque O´higgins - Con Bodega - Disponible A Partir Del 01 Diciembre,santiago,13-12-2019,5282761,-33.4572487,-70.6523972,Portal Inmobiliario,35,33,arriendo,Metro Toesca / Parque O´higgins - Con Bodega - Disponible A Partir Del 01 Diciembre,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5282761-metro-toesca-parque-ohiggins-con-bodega-disponible-a-partir-del-01-diciembre-uda,275000,departamento
Berrios Zegers Propiedades,Parque De Los Reyes,santiago,11-12-2019,5265513,-33.4332008,-70.6596985,Portal Inmobiliario,57,55,arriendo,Parque De Los Reyes,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5265513-parque-de-los-reyes-uda,450000,departamento
Arriendoasegurado.com,Carmen,santiago,12-12-2019,5280544,-33.4506989,-70.6414032,Portal Inmobiliario,59,57,arriendo,Carmen,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5280544-carmen-uda,480000,departamento
Arriendoasegurado.com,Sargento Aldea,santiago,12-12-2019,5280541,-33.4690018,-70.6490021,Portal Inmobiliario,42,40,arriendo,Sargento Aldea,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5280541-sargento-aldea-uda,14,departamento
Corredores Y Gestores Asociados,Coquimbo 1331 - Departamento 604a,santiago,15-12-2019,5286816,-33.4572487,-70.6523972,Portal Inmobiliario,42,41,arriendo,Coquimbo 1331 - Departamento 604a,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5286816-coquimbo-1331-departamento-604a-uda,370000,departamento
Amity Propiedades,Presidente Balmaceda 2190 - Departamento 2106,santiago,14-12-2019,5286157,-33.4297295,-70.6678162,Portal Inmobiliario,40,35,arriendo,Presidente Balmaceda 2190 - Departamento 2106,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5286157-presidente-balmaceda-2190-departamento-2106-uda,300000,departamento
Rothery & Valdés Propiedades,Metro Cal Y Canto - Dpto. Studio,santiago,10-12-2019,5231431,-33.4332008,-70.6596985,Portal Inmobiliario,28,28,arriendo,Metro Cal Y Canto - Dpto. Studio,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5231431-metro-cal-y-canto-dpto-studio-uda,280000,departamento
Arriendoasegurado.com,Lira,santiago,12-12-2019,5280549,-33.4464989,-70.6395035,Portal Inmobiliario,44,40,arriendo,Lira,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5280549-lira-uda,380000,departamento
Etchepare & Asociados,Serrano / Metro Universidad De Chile,santiago,11-12-2019,5186781,-33.4457054,-70.6488876,Portal Inmobiliario,35,35,arriendo,Serrano / Metro Universidad De Chile,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5186781-serrano-metro-universidad-de-chile-uda,290000,departamento
Arriendoasegurado.com,Lord Cochrane,santiago,12-12-2019,5280545,-33.4504013,-70.6548004,Portal Inmobiliario,64,60,arriendo,Lord Cochrane,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5280545-lord-cochrane-uda,400000,departamento
M&m Propiedades,Blanco Encalada 1727,santiago,10-12-2019,5271999,-33.4563675,-70.6585617,Portal Inmobiliario,64,58,arriendo,Blanco Encalada 1727,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5271999-blanco-encalada-1727-uda,435000,departamento
González López Propiedades,Nataniel Cox / Calle Victoria,santiago,13-12-2019,5028495,-33.4640083,-70.6511612,Portal Inmobiliario,52,52,arriendo,Nataniel Cox / Calle Victoria,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5028495-nataniel-cox-calle-victoria-uda,350000,departamento
Fuenzalida Propiedades Stgo. Centro,Parque Almagro - Coquimbo / Nataniel Cox,santiago,11-12-2019,5194646,-33.4571991,-70.6516037,Portal Inmobiliario,35,1,arriendo,Parque Almagro - Coquimbo / Nataniel Cox,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5194646-parque-almagro-coquimbonataniel-cox-uda,300000,departamento
Amity Propiedades,Presidente Balmaceda 2190 - Departamento 517,santiago,14-12-2019,5286139,-33.4297295,-70.6678162,Portal Inmobiliario,34,30,arriendo,Presidente Balmaceda 2190 - Departamento 517,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5286139-presidente-balmaceda-2190-departamento-517-uda,260000,departamento
